target,block,rung,learner,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,test_mse
terminalbenchHard,Scientific-coding,iv_kfac,elasticnet,0.2532694616383883,0.27839134231631785,0.199298838673278,0.21096469295229855,0.935854579801401,0.923578036864225,0.07750173947668125
terminalbenchHard,Scientific-coding,iv_kfac,rf,0.24175988599377438,0.6563864441445089,0.17275730657002877,0.5194358952125874,0.9415521575242772,0.57515946579823,0.4308431640566725
terminalbenchHard,Scientific-coding,iv_kfac,gbm,0.08818040474335295,0.6204078815905402,0.06744391396734023,0.47972282764614943,0.9922242162192985,0.6204566798001827,0.3849059395396617
terminalbenchHard,Scientific-coding,v_kfac_cov,ridge,0.23350651104332562,0.2819459213901103,0.1800807940518118,0.20499746184407194,0.9454747093003733,0.9216140235641906,0.07949350258851826
terminalbenchHard,Scientific-coding,v_kfac_cov,elasticnet,0.251627297053792,0.2786137212240232,0.19884627359941562,0.21408943820247797,0.9366837033774027,0.9234558964255266,0.07762560565429773
terminalbenchHard,Scientific-coding,v_kfac_cov,rf,0.21151656961951504,0.5023301126225279,0.15552582830236442,0.4167397587589503,0.9552607407763929,0.7511800687003751,0.2523355420473615
terminalbenchHard,Scientific-coding,v_kfac_cov,gbm,0.12877375992033532,0.49421772741974795,0.07761518505769018,0.38323265460947376,0.9834173187559798,0.7591518147643328,0.2442511620959403
gdpval_elo,Economic,i_date,ridge,0.7078105280375883,0.7201447517106441,0.5607293021156483,0.5735296389092567,0.49900425639915047,0.49021802050059826,0.5186084634163852
gdpval_elo,Economic,i_date,elasticnet,0.7078592661343873,0.7213857901835522,0.5611735738431142,0.5750698636838198,0.49893525934768657,0.4884594735300347,0.520397458278748
gdpval_elo,Economic,i_date,rf,0.5269703599122177,0.743356106638598,0.42447738475054236,0.5839162793979207,0.7223022397739877,0.45682633407549567,0.5525783012768947
gdpval_elo,Economic,i_date,gbm,0.37400906570524345,0.7719588020587921,0.3033910737988776,0.5944348978415696,0.8601172187702909,0.41422190626172517,0.5959203920760453
gdpval_elo,Economic,ii_meanidx,ridge,0.37121370822994887,0.3850696226170533,0.29363306324201194,0.3045752909526197,0.8622003828221704,0.8542450213824517,0.14827861426243985
gdpval_elo,Economic,ii_meanidx,elasticnet,0.37270534743958494,0.3850450842150834,0.29516158025933226,0.3054746359561799,0.8610907239899382,0.8542635971416697,0.14825971687820064
